DNIB,IBA,Ibadan Airport,7.362458,3.978333,150
DNIM,QOW,Owerri Sam Mbakwe Airport,5.427056,7.206031,166
DNJO,JOS,Jos Yakubu Gowon Airport,9.639828,8.86905,215
DNKA,KAD,Kaduna Airport,10.69602,7.320114,500
DNKN,KAN,Kano Mallam Aminu International Airport,12.04758,8.524622,4733
DNMM,LOS,Lagos Murtala Mohammed Airport,6.577369,3.321156,68130
DNPO,PHC,Port Harcourt International Airport,5.015494,6.949594,719
DNYO,YOL,Yola Airport,9.257553,12.43042,40
DRRN,NIM,Niamey Diori Hamani International Airport,13.48154,2.183614,2471
DSGI,KMS,Kumasi Airport,6.714564,-1.59081,658
DTKA,TBJ,Tabarka Ain Draham Airport,36.98,8.876944,48
DTMB,MIR,Monastir Habib Bourguiba International Airport,35.758049,10.75472,14984
DTNH,NBE,Enfidha – Hammamet International Airport,36.091946,10.413889,8786
DTTA,TUN,Tunis Carthage International Airport,36.851028,10.22721,83454
DTTG,GAE,Gabes Matmata International Airport,33.734165,9.921366,43
DTTJ,DJE,Djerba Zarzis International Airport,33.875031,10.77546,17922
DTTX,SFA,Sfax–Thyna International Airport,34.717949,10.69097,2346
DTTZ,TOE,Tozeur Nefta International Airport,33.93972,8.110556,393
DXXX,LFW,Lome Tokoin Airport,6.165611,1.254511,3275
EBAW,ANR,Antwerp International Airport,51.189442,4.460278,22916
EBBR,BRU,Brussels Airport,50.901379,4.484444,384584
EBCI,CRL,Brussels South Charleroi Airport,50.459999,4.452778,81362
EBKT,KJK,Kortrijk Wevelgem International Airport,50.8172,3.20472,6202
EBLG,LGG,Liege Airport,50.636379,5.442778,53629
EBOS,OST,Ostend Bruges International Airport,51.198879,2.862222,9250
EDAC,AOC,Leipzig Altenburg Airport,50.981812,12.50636,4101
EDAH,HDF,Heringsdorf Airport,53.87825,14.138242,1582
EDBC,CSO,Magdeburg Cochstedt Airport,51.855831,11.418333,3152
EDCG,GTI,Rugen Airport,54.383331,13.325556,1079
EDDB,SXF,Berlin Schonefeld Airport,52.380001,13.5225,159800
EDDC,DRS,Dresden Airport,51.132759,13.76716,39010
